candidate,criterion,weight,score,evidence_label,basis
Cross-Sectional Momentum,research_value,0.06363636363636364,5,VERY_STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,incremental_value_relative_to_risk_constructs,0.045454545454545456,4,STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,future_integration_potential,0.045454545454545456,5,VERY_STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Time-Series Momentum,scientific_evidence_strength,0.10909090909090907,4,STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,independent_replication_quality,0.0818181818181818,5,VERY_STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,theoretical_maturity,0.06363636363636364,4,STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,mechanism_clarity,0.06363636363636364,4,STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,constructability_score,0.07272727272727272,5,VERY_STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,rule_based_representability,0.054545454545454536,5,VERY_STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,public_data_availability,0.07272727272727272,5,VERY_STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,long_only_compatibility,0.045454545454545456,3,MODERATE,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,lookahead_safety,0.06363636363636364,5,VERY_STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,parameter_robustness,0.054545454545454536,4,STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,reproducibility,0.06363636363636364,5,VERY_STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,out_of_sample_evidence,0.054545454545454536,4,STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,implementation_complexity,0.045454545454545456,4,STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,research_value,0.06363636363636364,4,STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,incremental_value_relative_to_risk_constructs,0.045454545454545456,3,MODERATE,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Time-Series Momentum,future_integration_potential,0.045454545454545456,4,STRONG,"Existing LR-001 notes strong evidence for time-series momentum especially in diversified futures, but MEDP appears equity-focused and long-only compatibility is less direct than cross-sectional equity momentum. It remains high-quality but not first priority under the current research ecosystem."
Profitability / Quality,scientific_evidence_strength,0.10909090909090907,4,STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,independent_replication_quality,0.0818181818181818,4,STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,theoretical_maturity,0.06363636363636364,4,STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,mechanism_clarity,0.06363636363636364,4,STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,constructability_score,0.07272727272727272,3,MODERATE,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,rule_based_representability,0.054545454545454536,4,STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,public_data_availability,0.07272727272727272,3,MODERATE,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,long_only_compatibility,0.045454545454545456,5,VERY_STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,lookahead_safety,0.06363636363636364,2,WEAK,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,parameter_robustness,0.054545454545454536,3,MODERATE,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,reproducibility,0.06363636363636364,3,MODERATE,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,out_of_sample_evidence,0.054545454545454536,4,STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,implementation_complexity,0.045454545454545456,2,WEAK,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,research_value,0.06363636363636364,4,STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,incremental_value_relative_to_risk_constructs,0.045454545454545456,4,STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Profitability / Quality,future_integration_potential,0.045454545454545456,5,VERY_STRONG,"Quality/profitability has strong conceptual and empirical support, and is long-only compatible, but depends on point-in-time accounting data and careful publication-lag controls. It is a strong later candidate after the MEDP data governance layer is hardened."
Post-Earnings Announcement Drift (PEAD),scientific_evidence_strength,0.10909090909090907,4,STRONG,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),independent_replication_quality,0.0818181818181818,4,STRONG,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),theoretical_maturity,0.06363636363636364,4,STRONG,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),mechanism_clarity,0.06363636363636364,5,VERY_STRONG,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),constructability_score,0.07272727272727272,3,MODERATE,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),rule_based_representability,0.054545454545454536,4,STRONG,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),public_data_availability,0.07272727272727272,2,WEAK,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),long_only_compatibility,0.045454545454545456,4,STRONG,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),lookahead_safety,0.06363636363636364,2,WEAK,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),parameter_robustness,0.054545454545454536,3,MODERATE,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),reproducibility,0.06363636363636364,2,WEAK,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),out_of_sample_evidence,0.054545454545454536,3,MODERATE,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),implementation_complexity,0.045454545454545456,1,VERY_WEAK,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),research_value,0.06363636363636364,5,VERY_STRONG,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),incremental_value_relative_to_risk_constructs,0.045454545454545456,5,VERY_STRONG,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Post-Earnings Announcement Drift (PEAD),future_integration_potential,0.045454545454545456,4,STRONG,"PEAD has a clear mechanism and high research value, but requires reliable earnings announcement timestamps, expectations/surprise definitions, point-in-time data, and strict after-hours timing controls. That makes it high-value but not the safest first construct."
Value,scientific_evidence_strength,0.10909090909090907,4,STRONG,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,independent_replication_quality,0.0818181818181818,4,STRONG,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,theoretical_maturity,0.06363636363636364,4,STRONG,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,mechanism_clarity,0.06363636363636364,3,MODERATE,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,constructability_score,0.07272727272727272,3,MODERATE,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,rule_based_representability,0.054545454545454536,4,STRONG,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,public_data_availability,0.07272727272727272,3,MODERATE,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,long_only_compatibility,0.045454545454545456,4,STRONG,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,lookahead_safety,0.06363636363636364,2,WEAK,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,parameter_robustness,0.054545454545454536,3,MODERATE,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,reproducibility,0.06363636363636364,3,MODERATE,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,out_of_sample_evidence,0.054545454545454536,4,STRONG,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,implementation_complexity,0.045454545454545456,2,WEAK,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,research_value,0.06363636363636364,4,STRONG,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,incremental_value_relative_to_risk_constructs,0.045454545454545456,4,STRONG,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
Value,future_integration_potential,0.045454545454545456,4,STRONG,"Value is scientifically mature and important, but implementation requires point-in-time fundamentals, accounting lag handling, restatement controls, and careful universe design. Those data-integrity requirements make it less suitable as the first MEDP construct than price-only momentum."
